Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,144,17,1,0,162
Beef Chow Mein,98,15,1,0,114
Shepherd's Pie,103,0,1,0,104
Beef Burrito Bowl,110,12,17,0,139
Beef Meatballs,120,12,1,0,133
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,147,14,0,0,161
Chicken with Vegetables,53,15,1,0,69
Chicken with Sweet Potato and Beans,94,0,6,0,100
Naked Chicken Parma,186,19,3,0,208
Chicken Pesto Pasta,140,15,4,0,159
Chicken and Broccoli Pasta,81,0,0,0,81
Butter Chicken,115,19,5,0,139
Thai Green Chicken Curry,110,12,0,0,122
Moroccan Chicken,68,0,4,0,72
Steak with Mushroom Sauce,143,5,3,0,151
Creamy Chicken & Mushroom Gnocchi,97,0,2,0,99
Roasted Lemon Chicken & Potatoes,89,10,0,0,99
Beef Lasagna,250,14,14,0,278
Bean Nachos with Rice,11,0,0,0,11
Lamb Souvlaki,151,3,0,0,154
Chicken Fajita Bowl,75,11,0,0,86
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,13,0,0,0,13
ON Amino Energy Can,0,4,0,0,4
