Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,164,19,19,0,202
Beef Chow Mein,76,6,12,0,94
Shepherd's Pie,84,0,10,0,94
Beef Burrito Bowl,93,20,18,0,131
Beef Meatballs,122,20,16,0,158
Lebanese Beef Stew,82,0,0,0,82
Mongolian Beef,127,20,0,0,147
Chicken with Vegetables,55,7,0,0,62
Chicken with Sweet Potato and Beans,95,0,13,0,108
Naked Chicken Parma,177,25,14,0,216
Chicken Pesto Pasta,127,13,21,0,161
Chicken and Broccoli Pasta,103,0,13,0,116
Butter Chicken,172,12,21,0,205
Thai Green Chicken Curry,106,19,0,0,125
Moroccan Chicken,64,0,11,0,75
Steak with Mushroom Sauce,108,20,6,0,134
Creamy Chicken & Mushroom Gnocchi,112,0,3,0,115
Roasted Lemon Chicken & Potatoes,83,14,13,0,110
Beef Lasagna,245,23,31,0,299
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,100,13,0,0,113
Chicken Fajita Bowl,83,8,0,0,91
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,2,0,0,0,2
Baked Family Lasagna,8,0,0,0,8
