Product name,Clean Eats,Already Made,Total
Spaghetti Bolognese,162,0,162
Beef Chow Mein,145,0,145
Shepherd's Pie,104,0,104
Beef Burrito Bowl,168,0,168
Beef Meatballs,152,0,152
Lebanese Beef Stew,85,0,85
Mongolian Beef,223,0,223
Chicken with Vegetables,38,0,38
Chicken with Sweet Potato and Beans,106,0,106
Naked Chicken Parma,422,0,422
Chicken Pesto Pasta,0,0,0
Chicken and Broccoli Pasta,108,0,108
Butter Chicken,261,0,261
Thai Green Chicken Curry,197,0,197
Moroccan Chicken,62,0,62
Steak with Mushroom Sauce,195,0,195
Creamy Chicken & Mushroom Gnocchi,168,0,168
Roasted Lemon Chicken & Potatoes,109,0,109
Beef Lasagna,367,0,367
Bean Nachos with Rice,0,0,0
Lamb Souvlaki,156,0,156
Chicken Fajita Bowl,102,0,102
Steak On Its Own,0,0,0
Chicken On Its Own,0,0,0
Family Mac and 3 Cheese Pasta Bake,2,0,2
Baked Family Lasagna,11,0,11
