Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,132,22,20,15,159
Beef Chow Mein,70,16,9,0,95
Shepherd's Pie,48,0,10,19,39
Beef Burrito Bowl,110,29,22,0,161
Beef Meatballs,93,34,12,0,139
Lebanese Beef Stew,56,0,0,0,56
Mongolian Beef,111,41,0,21,131
Chicken with Vegetables,53,18,3,0,74
Chicken with Sweet Potato and Beans,61,0,11,0,72
Naked Chicken Parma,150,58,35,10,233
Chicken Pesto Pasta,85,35,19,0,139
Chicken and Broccoli Pasta,59,0,12,0,71
Butter Chicken,66,32,18,0,116
Thai Green Chicken Curry,66,33,0,0,99
Moroccan Chicken,48,0,10,0,58
Steak with Mushroom Sauce,94,27,23,34,110
Creamy Chicken & Mushroom Gnocchi,80,0,4,0,84
Roasted Lemon Chicken & Potatoes,83,10,20,0,113
Beef Lasagna,179,35,40,0,254
Bean Nachos with Rice,8,0,0,0,8
Lamb Souvlaki,109,19,0,0,128
Chicken Fajita Bowl,94,15,0,0,109
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,5,0,0,0,5
