Product name,Clean Eats,Already Made,Total
Spaghetti Bolognese,64,0,64
Beef Chow Mein,36,0,36
Shepherd's Pie,47,0,47
Beef Burrito Bowl,34,0,34
Beef Meatballs,46,0,46
Lebanese Beef Stew,27,0,27
Mongolian Beef,62,0,62
Chicken with Sweet Potato and Beans,25,0,25
Naked Chicken Parma,70,0,70
Chicken Pesto Pasta,40,0,40
Chicken and Broccoli Pasta,57,0,57
Butter Chicken,75,0,75
Thai Green Chicken Curry,41,0,41
Moroccan Chicken,7,0,7
Steak with Mushroom Sauce,56,0,56
Creamy Chicken & Mushroom Gnocchi,44,0,44
Roasted Lemon Chicken & Potatoes,17,0,17
Beef Lasagna,79,0,79
Lamb Souvlaki,41,0,41
Baked Family Lasagna,7,0,7
Sunday Roast Lamb,63,0,63
Smashed Burger,78,0,78
Creamy Fettuccine,62,0,62
