Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,85,19,19,0,123
Beef Chow Mein,49,12,7,7,61
Shepherd's Pie,53,0,7,16,44
Beef Burrito Bowl,77,15,18,0,110
Beef Meatballs,84,25,7,20,96
Lebanese Beef Stew,43,0,0,14,29
Mongolian Beef,94,18,0,0,112
Chicken with Vegetables,37,6,0,0,43
Chicken with Sweet Potato and Beans,55,0,9,0,64
Naked Chicken Parma,114,26,18,0,158
Chicken Pesto Pasta,76,9,18,0,103
Chicken and Broccoli Pasta,62,0,10,0,72
Butter Chicken,107,19,14,0,140
Thai Green Chicken Curry,97,21,0,0,118
Moroccan Chicken,29,0,7,0,36
Steak with Mushroom Sauce,79,10,8,0,97
Creamy Chicken & Mushroom Gnocchi,59,0,0,0,59
Roasted Lemon Chicken & Potatoes,51,14,15,0,80
Beef Lasagna,110,21,34,0,165
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,53,8,0,0,61
Chicken Fajita Bowl,68,10,0,0,78
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,1,0,0,0,1
Baked Family Lasagna,2,0,0,0,2
ON Amino Energy Can,0,1,0,0,1
