Product name,Clean Eats,Already Made,Total
Spaghetti Bolognese,61,0,61
Beef Chow Mein,26,0,26
Shepherd's Pie,37,0,37
Beef Burrito Bowl,34,0,34
Beef Meatballs,38,0,38
Lebanese Beef Stew,25,0,25
Mongolian Beef,55,0,55
Chicken with Sweet Potato and Beans,38,0,38
Naked Chicken Parma,42,0,42
Chicken Pesto Pasta,49,0,49
Chicken and Broccoli Pasta,53,0,53
Butter Chicken,55,0,55
Thai Green Chicken Curry,34,0,34
Moroccan Chicken,33,0,33
Steak with Mushroom Sauce,69,0,69
Creamy Chicken & Mushroom Gnocchi,37,0,37
Roasted Lemon Chicken & Potatoes,32,0,32
Beef Lasagna,67,0,67
Lamb Souvlaki,42,0,42
Baked Family Lasagna,1,0,1
Sunday Roast Lamb,70,0,70
Smashed Burger,71,0,71
Creamy Fettuccine,69,0,69
