Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,110,28,24,0,162
Beef Chow Mein,71,15,11,0,97
Shepherd's Pie,55,0,13,0,68
Beef Burrito Bowl,76,16,39,0,131
Beef Meatballs,106,14,16,0,136
Lebanese Beef Stew,45,0,0,0,45
Mongolian Beef,101,37,0,0,138
Chicken with Vegetables,57,14,4,0,75
Chicken with Sweet Potato and Beans,57,0,12,0,69
Naked Chicken Parma,148,40,19,14,193
Chicken Pesto Pasta,106,24,23,0,153
Chicken and Broccoli Pasta,43,0,3,0,46
Butter Chicken,84,18,20,0,122
Thai Green Chicken Curry,70,14,0,0,84
Moroccan Chicken,23,0,14,10,27
Steak with Mushroom Sauce,125,13,15,0,153
Creamy Chicken & Mushroom Gnocchi,84,0,0,0,84
Roasted Lemon Chicken & Potatoes,80,0,11,0,91
Beef Lasagna,173,26,36,0,235
Bean Nachos with Rice,9,0,0,0,9
Lamb Souvlaki,113,10,0,0,123
Chicken Fajita Bowl,59,14,0,0,73
Steak On Its Own,0,4,0,0,4
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,0,0,0,0,0
Lunch or Dinner Only - 7 Meals,0,1,0,0,1
