Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,135,22,10,0,167
Beef Chow Mein,68,9,7,0,84
Shepherd's Pie,72,0,11,0,83
Beef Burrito Bowl,279,31,18,0,328
Beef Meatballs,100,18,8,0,126
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,115,54,0,0,169
Chicken with Vegetables,49,13,3,0,65
Chicken with Sweet Potato and Beans,78,0,8,0,86
Naked Chicken Parma,385,161,19,0,565
Chicken Pesto Pasta,140,40,14,0,194
Chicken and Broccoli Pasta,91,0,9,0,100
Butter Chicken,120,25,9,0,154
Thai Green Chicken Curry,99,27,0,0,126
Moroccan Chicken,69,0,11,0,80
Steak with Mushroom Sauce,100,22,8,0,130
Creamy Chicken & Mushroom Gnocchi,81,0,2,0,83
Roasted Lemon Chicken & Potatoes,108,14,15,0,137
Beef Lasagna,392,23,18,0,433
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,130,17,0,0,147
Chicken Fajita Bowl,283,20,0,0,303
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,2,0,0,0,2
Baked Family Lasagna,14,0,0,0,14
20 Pack,0,1,0,0,1
ON Amino Energy Can,0,15,0,0,15
