Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,151,20,31,0,202
Beef Chow Mein,99,5,15,0,119
Shepherd's Pie,95,0,12,0,107
Beef Burrito Bowl,140,14,11,0,165
Beef Meatballs,112,12,21,0,145
Lebanese Beef Stew,58,0,0,0,58
Mongolian Beef,187,13,0,0,200
Chicken with Vegetables,46,15,1,0,62
Chicken with Sweet Potato and Beans,112,0,2,0,114
Naked Chicken Parma,276,32,16,0,324
Chicken Pesto Pasta,179,19,8,0,206
Chicken and Broccoli Pasta,103,0,15,0,118
Butter Chicken,195,20,25,0,240
Thai Green Chicken Curry,179,18,0,0,197
Moroccan Chicken,81,0,6,0,87
Steak with Mushroom Sauce,207,14,10,0,231
Creamy Chicken & Mushroom Gnocchi,94,0,5,0,99
Roasted Lemon Chicken & Potatoes,93,16,12,0,121
Beef Lasagna,284,12,36,0,332
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,160,10,0,0,170
Chicken Fajita Bowl,109,11,0,0,120
Steak On Its Own,0,1,0,0,1
Chicken On Its Own,0,2,0,0,2
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,5,0,0,0,5
10 PACK,0,2,0,0,2
20 Pack,0,1,0,0,1
Made Active Membership (7 Meals),0,1,0,0,1
Made Active Membership (14 Meals),0,1,0,0,1
