Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,117,25,25,0,167
Beef Chow Mein,59,7,27,0,93
Shepherd's Pie,63,0,24,0,87
Beef Burrito Bowl,92,24,35,0,151
Beef Meatballs,117,21,26,0,164
Lebanese Beef Stew,9,0,0,0,9
Mongolian Beef,128,13,0,0,141
Chicken with Vegetables,41,16,6,0,63
Chicken with Sweet Potato and Beans,63,0,20,0,83
Naked Chicken Parma,178,42,37,0,257
Chicken Pesto Pasta,139,16,28,0,183
Chicken and Broccoli Pasta,56,0,18,0,74
Butter Chicken,106,24,37,0,167
Thai Green Chicken Curry,87,30,0,0,117
Moroccan Chicken,50,0,13,0,63
Steak with Mushroom Sauce,107,4,29,0,140
Creamy Chicken & Mushroom Gnocchi,99,0,16,0,115
Roasted Lemon Chicken & Potatoes,79,4,12,12,83
Beef Lasagna,236,47,43,0,326
Bean Nachos with Rice,16,0,0,0,16
Lamb Souvlaki,164,7,0,0,171
Chicken Fajita Bowl,71,8,0,0,79
Steak On Its Own,0,5,0,0,5
Chicken On Its Own,0,5,0,0,5
Family Mac and 3 Cheese Pasta Bake,3,0,0,0,3
Baked Family Lasagna,1,0,0,0,1
