Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,122,9,54,0,185
Beef Chow Mein,57,7,26,0,90
Shepherd's Pie,55,0,27,0,82
Beef Burrito Bowl,73,13,40,0,126
Beef Meatballs,88,3,32,0,123
Lebanese Beef Stew,42,0,17,0,59
Mongolian Beef,100,21,45,0,166
Chicken with Vegetables,39,19,15,0,73
Chicken with Sweet Potato and Beans,73,0,35,0,108
Naked Chicken Parma,247,16,164,0,427
Chicken Pesto Pasta,92,13,42,0,147
Chicken and Broccoli Pasta,60,0,22,0,82
Butter Chicken,85,16,42,0,143
Thai Green Chicken Curry,68,11,31,0,110
Moroccan Chicken,33,0,22,0,55
Steak with Mushroom Sauce,79,7,34,0,120
Creamy Chicken & Mushroom Gnocchi,56,0,13,0,69
Roasted Lemon Chicken & Potatoes,77,6,35,0,118
Beef Lasagna,571,14,472,0,1057
Bean Nachos with Rice,11,0,5,0,16
Lamb Souvlaki,113,2,53,0,168
Chicken Fajita Bowl,178,4,133,0,315
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,10,0,8,0,18
