Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,163,19,15,0,197
Beef Chow Mein,86,6,9,0,101
Shepherd's Pie,93,0,11,20,84
Beef Burrito Bowl,82,17,27,0,126
Beef Meatballs,99,17,16,0,132
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,160,13,0,0,173
Chicken with Vegetables,45,12,1,0,58
Chicken with Sweet Potato and Beans,89,0,9,0,98
Naked Chicken Parma,177,36,25,20,218
Chicken Pesto Pasta,127,22,18,0,167
Chicken and Broccoli Pasta,83,0,11,0,94
Butter Chicken,154,14,13,0,181
Thai Green Chicken Curry,110,15,0,0,125
Moroccan Chicken,83,0,12,0,95
Steak with Mushroom Sauce,119,6,9,0,134
Creamy Chicken & Mushroom Gnocchi,87,0,4,0,91
Roasted Lemon Chicken & Potatoes,112,9,20,0,141
Beef Lasagna,211,20,22,0,253
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,118,6,0,0,124
Chicken Fajita Bowl,88,16,0,0,104
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,6,0,0,0,6
ON Amino Energy Can,0,14,0,0,14
