Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,161,8,2,0,171
Beef Chow Mein,92,3,0,0,95
Shepherd's Pie,96,0,2,0,98
Beef Burrito Bowl,112,9,3,0,124
Beef Meatballs,104,7,0,0,111
Lebanese Beef Stew,34,0,0,0,34
Mongolian Beef,163,6,0,0,169
Chicken with Vegetables,48,3,0,0,51
Chicken with Sweet Potato and Beans,112,0,0,0,112
Naked Chicken Parma,236,21,0,0,257
Chicken Pesto Pasta,153,6,0,0,159
Chicken and Broccoli Pasta,96,0,0,0,96
Butter Chicken,142,4,0,0,146
Thai Green Chicken Curry,130,2,0,0,132
Moroccan Chicken,53,0,0,0,53
Steak with Mushroom Sauce,149,10,0,0,159
Creamy Chicken & Mushroom Gnocchi,107,0,0,0,107
Roasted Lemon Chicken & Potatoes,78,11,0,0,89
Beef Lasagna,185,21,3,0,209
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,118,16,0,0,134
Chicken Fajita Bowl,116,3,0,0,119
Steak On Its Own,0,1,0,0,1
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,10,0,0,0,10
Baked Family Lasagna,28,0,0,0,28
