Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,183,8,13,0,204
Beef Chow Mein,166,5,14,20,165
Shepherd's Pie,112,0,11,40,83
Beef Burrito Bowl,135,10,14,0,159
Beef Meatballs,161,12,14,20,167
Lebanese Beef Stew,101,0,0,0,101
Mongolian Beef,207,12,0,0,219
Chicken with Vegetables,112,0,3,0,115
Chicken with Sweet Potato and Beans,113,0,10,0,123
Naked Chicken Parma,353,18,16,30,357
Chicken Pesto Pasta,252,18,19,0,289
Chicken and Broccoli Pasta,111,0,7,0,118
Butter Chicken,261,14,16,0,291
Thai Green Chicken Curry,230,27,0,0,257
Moroccan Chicken,91,0,4,0,95
Steak with Mushroom Sauce,173,16,11,0,200
Creamy Chicken & Mushroom Gnocchi,155,0,11,0,166
Roasted Lemon Chicken & Potatoes,94,3,13,0,110
Beef Lasagna,285,11,29,0,325
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,169,11,0,0,180
Chicken Fajita Bowl,107,5,0,0,112
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,6,0,0,0,6
Baked Family Lasagna,9,0,0,0,9
10 PACK,0,2,0,0,2
20 Pack,0,1,0,0,1
Made Active Membership (7 Meals),0,1,0,0,1
Made Active Membership (14 Meals),0,1,0,0,1
