Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,223,8,2,16,217
Beef Chow Mein,161,0,0,6,155
Shepherd's Pie,120,0,0,0,120
Beef Burrito Bowl,160,5,1,0,166
Beef Meatballs,176,7,0,6,177
Lebanese Beef Stew,72,0,0,14,58
Mongolian Beef,235,10,0,0,245
Chicken with Vegetables,68,8,0,0,76
Chicken with Sweet Potato and Beans,128,0,0,0,128
Naked Chicken Parma,249,10,0,0,259
Chicken Pesto Pasta,197,8,0,4,201
Chicken and Broccoli Pasta,118,0,1,0,119
Butter Chicken,191,3,0,0,194
Thai Green Chicken Curry,147,3,0,0,150
Moroccan Chicken,63,0,0,0,63
Steak with Mushroom Sauce,224,4,0,29,199
Creamy Chicken & Mushroom Gnocchi,199,0,0,0,199
Roasted Lemon Chicken & Potatoes,118,13,2,0,133
Beef Lasagna,293,14,2,0,309
Bean Nachos with Rice,10,0,0,0,10
Lamb Souvlaki,215,3,0,4,214
Chicken Fajita Bowl,119,16,0,0,135
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,14,0,0,0,14
Baked Family Lasagna,34,0,0,0,34
