Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,187,35,16,0,238
Beef Chow Mein,57,10,17,0,84
Shepherd's Pie,85,0,12,0,97
Beef Burrito Bowl,56,17,28,0,101
Beef Meatballs,108,15,12,0,135
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,94,17,0,0,111
Chicken with Vegetables,34,10,0,0,44
Chicken with Sweet Potato and Beans,52,0,9,0,61
Naked Chicken Parma,171,52,13,0,236
Chicken Pesto Pasta,129,21,10,0,160
Chicken and Broccoli Pasta,101,0,12,0,113
Butter Chicken,136,15,14,0,165
Thai Green Chicken Curry,83,26,0,0,109
Moroccan Chicken,58,0,14,0,72
Steak with Mushroom Sauce,127,11,10,0,148
Creamy Chicken & Mushroom Gnocchi,86,0,4,0,90
Roasted Lemon Chicken & Potatoes,102,27,15,0,144
Beef Lasagna,235,53,25,0,313
Bean Nachos with Rice,16,0,0,0,16
Lamb Souvlaki,105,11,0,0,116
Chicken Fajita Bowl,87,14,0,0,101
Steak On Its Own,0,1,0,0,1
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,1,0,0,0,1
Baked Family Lasagna,2,0,0,0,2
ON Amino Energy Can,0,9,0,0,9
