Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,175,10,8,0,193
Beef Chow Mein,183,5,5,40,153
Shepherd's Pie,90,0,2,0,92
Beef Burrito Bowl,220,14,8,0,242
Beef Meatballs,164,6,6,0,176
Lebanese Beef Stew,81,0,0,15,66
Mongolian Beef,183,12,0,0,195
Chicken with Vegetables,75,23,0,0,98
Chicken with Sweet Potato and Beans,114,0,0,0,114
Naked Chicken Parma,265,21,3,0,289
Chicken Pesto Pasta,200,17,7,0,224
Chicken and Broccoli Pasta,99,0,2,0,101
Butter Chicken,250,37,3,0,290
Thai Green Chicken Curry,165,35,0,0,200
Moroccan Chicken,90,0,5,0,95
Steak with Mushroom Sauce,163,13,4,0,180
Creamy Chicken & Mushroom Gnocchi,122,0,4,0,126
Roasted Lemon Chicken & Potatoes,112,5,8,0,125
Beef Lasagna,284,23,14,0,321
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,165,11,0,0,176
Chicken Fajita Bowl,126,8,0,0,134
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,1,0,0,1
Family Mac and 3 Cheese Pasta Bake,1,0,0,0,1
Baked Family Lasagna,9,0,0,0,9
