Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,206,28,2,0,236
Beef Chow Mein,118,11,0,0,129
Shepherd's Pie,146,0,0,0,146
Beef Burrito Bowl,133,19,2,0,154
Beef Meatballs,169,9,0,0,178
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,240,19,0,0,259
Chicken with Vegetables,72,10,0,0,82
Chicken with Sweet Potato and Beans,150,0,0,0,150
Naked Chicken Parma,283,17,0,0,300
Chicken Pesto Pasta,210,21,0,0,231
Chicken and Broccoli Pasta,158,0,0,0,158
Butter Chicken,167,19,0,0,186
Thai Green Chicken Curry,141,17,0,0,158
Moroccan Chicken,103,0,0,0,103
Steak with Mushroom Sauce,215,5,0,0,220
Creamy Chicken & Mushroom Gnocchi,165,0,0,0,165
Roasted Lemon Chicken & Potatoes,161,10,2,0,173
Beef Lasagna,410,34,0,0,444
Bean Nachos with Rice,25,0,0,0,25
Lamb Souvlaki,220,10,0,0,230
Chicken Fajita Bowl,136,11,0,0,147
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,5,0,0,5
Family Mac and 3 Cheese Pasta Bake,6,0,0,0,6
Baked Family Lasagna,28,0,0,0,28
ON Amino Energy Can,0,18,0,0,18
