Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,170,10,17,0,197
Beef Chow Mein,98,7,13,0,118
Shepherd's Pie,75,0,11,0,86
Beef Burrito Bowl,140,13,6,0,159
Beef Meatballs,110,5,7,0,122
Lebanese Beef Stew,51,0,0,0,51
Mongolian Beef,170,16,0,0,186
Chicken with Vegetables,41,10,1,0,52
Chicken with Sweet Potato and Beans,90,0,2,0,92
Naked Chicken Parma,300,16,8,0,324
Chicken Pesto Pasta,200,10,5,0,215
Chicken and Broccoli Pasta,140,0,9,0,149
Butter Chicken,190,12,11,0,213
Thai Green Chicken Curry,220,14,0,0,234
Moroccan Chicken,84,0,4,0,88
Steak with Mushroom Sauce,170,8,9,0,187
Creamy Chicken & Mushroom Gnocchi,140,0,2,0,142
Roasted Lemon Chicken & Potatoes,90,9,7,0,106
Beef Lasagna,258,5,30,0,293
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,110,11,0,0,121
Chicken Fajita Bowl,65,8,0,0,73
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,2,0,0,0,2
Baked Family Lasagna,4,0,0,0,4
10 PACK,0,2,0,0,2
20 Pack,0,1,0,0,1
Made Active Membership (7 Meals),0,1,0,0,1
Made Active Membership (14 Meals),0,1,0,0,1
WEIGHT LOSS PACK,0,1,0,0,1
,,,,,
