Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,134,22,16,0,172
Beef Chow Mein,79,3,9,0,91
Shepherd's Pie,58,0,6,0,64
Beef Burrito Bowl,94,17,21,0,132
Beef Meatballs,88,19,15,0,122
Lebanese Beef Stew,84,0,0,0,84
Mongolian Beef,156,26,0,0,182
Chicken with Vegetables,46,10,3,0,59
Chicken with Sweet Potato and Beans,65,0,6,0,71
Naked Chicken Parma,196,30,12,0,238
Chicken Pesto Pasta,125,20,18,0,163
Chicken and Broccoli Pasta,74,0,12,0,86
Butter Chicken,137,25,16,0,178
Thai Green Chicken Curry,106,24,0,0,130
Moroccan Chicken,50,0,6,0,56
Steak with Mushroom Sauce,129,20,3,0,152
Creamy Chicken & Mushroom Gnocchi,81,0,4,0,85
Roasted Lemon Chicken & Potatoes,87,14,7,0,108
Beef Lasagna,214,35,34,0,283
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,98,13,0,0,111
Chicken Fajita Bowl,93,6,0,0,99
Steak On Its Own,0,1,0,0,1
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,5,0,0,0,5
Baked Family Lasagna,9,0,0,0,9
20 Pack,0,1,0,0,1
