Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,94,18,11,0,123
Beef Chow Mein,58,8,9,0,75
Shepherd's Pie,51,0,10,0,61
Beef Burrito Bowl,79,14,22,0,115
Beef Meatballs,121,13,12,0,146
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,109,15,0,0,124
Chicken with Vegetables,39,8,3,0,50
Chicken with Sweet Potato and Beans,59,0,11,0,70
Naked Chicken Parma,162,24,24,0,210
Chicken Pesto Pasta,118,24,17,0,159
Chicken and Broccoli Pasta,86,0,12,0,98
Butter Chicken,112,17,9,0,138
Thai Green Chicken Curry,111,18,0,0,129
Moroccan Chicken,47,0,16,0,63
Steak with Mushroom Sauce,115,8,13,0,136
Creamy Chicken & Mushroom Gnocchi,100,0,4,0,104
Roasted Lemon Chicken & Potatoes,95,7,16,0,118
Beef Lasagna,199,23,19,0,241
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,117,7,0,0,124
Chicken Fajita Bowl,59,3,0,0,62
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,3,0,0,0,3
Baked Family Lasagna,10,0,0,0,10
ON Amino Energy Can,0,5,0,0,5
