Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,367,35,16,0,418
Beef Chow Mein,116,10,17,0,143
Shepherd's Pie,188,0,12,0,200
Beef Burrito Bowl,224,17,28,0,269
Beef Meatballs,249,15,12,0,276
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,299,17,0,0,316
Chicken with Vegetables,92,10,0,0,102
Chicken with Sweet Potato and Beans,128,0,9,0,137
Naked Chicken Parma,463,52,13,0,528
Chicken Pesto Pasta,348,21,10,0,379
Chicken and Broccoli Pasta,204,0,12,0,216
Butter Chicken,331,15,14,0,360
Thai Green Chicken Curry,234,26,0,0,260
Moroccan Chicken,97,0,14,0,111
Steak with Mushroom Sauce,313,11,10,0,334
Creamy Chicken & Mushroom Gnocchi,282,0,4,0,286
Roasted Lemon Chicken & Potatoes,157,27,15,0,199
Beef Lasagna,627,53,25,0,705
Bean Nachos with Rice,27,0,0,0,27
Lamb Souvlaki,282,11,0,0,293
Chicken Fajita Bowl,143,14,0,0,157
Steak On Its Own,0,1,0,0,1
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,2,0,0,0,2
Baked Family Lasagna,9,0,0,0,9
ON Amino Energy Can,0,9,0,0,9
