Product name,Clean Eats,Already Made,Total
Spaghetti Bolognese,0,0,0
Beef Chow Mein,0,0,0
Shepherd's Pie,0,0,0
Beef Burrito Bowl,0,0,0
Beef Meatballs,0,0,0
Lebanese Beef Stew,0,0,0
Mongolian Beef,173,0,173
Chicken with Vegetables,0,0,0
Chicken with Sweet Potato and Beans,0,0,0
Naked Chicken Parma,0,0,0
Chicken Pesto Pasta,0,0,0
Chicken and Broccoli Pasta,0,0,0
Butter Chicken,0,0,0
Thai Green Chicken Curry,0,0,0
Moroccan Chicken,0,0,0
Steak with Mushroom Sauce,127,0,127
Creamy Chicken & Mushroom Gnocchi,0,0,0
Roasted Lemon Chicken & Potatoes,0,0,0
Beef Lasagna,0,0,0
Bean Nachos with Rice,0,0,0
Lamb Souvlaki,0,0,0
Chicken Fajita Bowl,0,0,0
Steak On Its Own,0,0,0
Chicken On Its Own,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0
Baked Family Lasagna,0,0,0
