Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,162,11,15,13,175
Beef Chow Mein,69,11,15,0,95
Shepherd's Pie,86,0,12,7,91
Beef Burrito Bowl,47,17,24,0,88
Beef Meatballs,74,22,7,4,99
Lebanese Beef Stew,0,0,0,0,0
Mongolian Beef,168,5,0,40,133
Chicken with Vegetables,42,17,1,0,60
Chicken with Sweet Potato and Beans,67,0,12,0,79
Naked Chicken Parma,147,15,10,0,172
Chicken Pesto Pasta,147,13,11,0,171
Chicken and Broccoli Pasta,94,0,10,0,104
Butter Chicken,136,41,15,0,192
Thai Green Chicken Curry,83,12,0,0,95
Moroccan Chicken,61,0,10,5,66
Steak with Mushroom Sauce,129,6,4,5,134
Creamy Chicken & Mushroom Gnocchi,94,0,9,0,103
Roasted Lemon Chicken & Potatoes,117,1,10,0,128
Beef Lasagna,248,15,23,0,286
Bean Nachos with Rice,17,0,0,5,12
Lamb Souvlaki,113,15,0,19,109
Chicken Fajita Bowl,101,13,0,0,114
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,6,0,0,4,2
Baked Family Lasagna,2,0,0,0,2
ON Amino Energy Can,0,9,0,0,9
