Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,220,25,25,0,270
Beef Chow Mein,123,7,27,0,157
Shepherd's Pie,120,0,24,0,144
Beef Burrito Bowl,147,24,35,0,206
Beef Meatballs,174,21,26,0,221
Lebanese Beef Stew,14,0,0,0,14
Mongolian Beef,207,13,0,0,220
Chicken with Vegetables,60,16,6,0,82
Chicken with Sweet Potato and Beans,117,0,20,0,137
Naked Chicken Parma,308,42,37,0,387
Chicken Pesto Pasta,196,16,28,0,240
Chicken and Broccoli Pasta,108,0,18,0,126
Butter Chicken,168,24,37,0,229
Thai Green Chicken Curry,152,30,0,0,182
Moroccan Chicken,85,0,13,0,98
Steak with Mushroom Sauce,185,4,29,0,218
Creamy Chicken & Mushroom Gnocchi,170,0,16,0,186
Roasted Lemon Chicken & Potatoes,136,4,12,0,152
Beef Lasagna,362,47,43,0,452
Bean Nachos with Rice,33,0,0,0,33
Lamb Souvlaki,227,7,0,0,234
Chicken Fajita Bowl,142,8,0,0,150
Steak On Its Own,0,5,0,0,5
Chicken On Its Own,0,5,0,0,5
Family Mac and 3 Cheese Pasta Bake,7,0,0,0,7
Baked Family Lasagna,11,0,0,0,11
