Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,163,7,30,0,200
Beef Chow Mein,88,7,13,20,88
Shepherd's Pie,125,0,12,0,137
Beef Burrito Bowl,95,10,7,0,112
Beef Meatballs,131,4,9,0,144
Lebanese Beef Stew,68,0,0,0,68
Mongolian Beef,144,8,0,15,137
Chicken with Vegetables,31,9,1,0,41
Chicken with Sweet Potato and Beans,116,0,5,0,121
Naked Chicken Parma,364,14,10,0,388
Chicken Pesto Pasta,183,4,10,0,197
Chicken and Broccoli Pasta,78,0,12,20,70
Butter Chicken,194,5,16,0,215
Thai Green Chicken Curry,165,12,0,0,177
Moroccan Chicken,84,0,4,60,28
Steak with Mushroom Sauce,167,5,8,15,165
Creamy Chicken & Mushroom Gnocchi,90,0,6,20,76
Roasted Lemon Chicken & Potatoes,90,6,6,0,102
Beef Lasagna,232,12,38,0,282
Bean Nachos with Rice,0,0,0,0,0
Lamb Souvlaki,131,10,0,30,111
Chicken Fajita Bowl,65,10,0,0,75
Steak On Its Own,0,0,0,0,0
Chicken On Its Own,0,1,0,0,1
Family Mac and 3 Cheese Pasta Bake,4,0,0,0,4
Baked Family Lasagna,8,0,0,0,8
10 PACK,0,1,0,0,1
20 Pack,0,1,0,0,1
Choose Your 7 Pack,0,2,0,0,2
